name|team|ip|w|sv|hld|era|whip|so|hr|qs|er|h|bb|hbp|bf
Mason Barnett|ATH|2.0|0|0|0|0.0|1.5|1|0|0|0|1|2|0|9
Tristan Beck|SFG|3.0|0|0|0|0.0|0.67|1|0|0|0|2|0|0|11
Mason Black|KCR|4.7|0|0|0|0.0|1.93|5|0|0|0|7|2|0|22
Matt Brash|SEA|11.3|2|0|4|0.0|0.44|8|0|0|0|3|2|1|38
Carlos Carrasco|ATL|2.3|0|0|0|0.0|0.43|2|0|0|0|1|0|0|8
Nick Davila|SEA|5.3|0|0|1|0.0|0.94|2|0|0|0|3|2|0|20
Duncan Davitt|CHW|1.0|0|0|0|0.0|1.0|0|0|0|0|0|1|0|3
Jose Espada|BAL|1.0|0|0|0|0.0|2.0|0|0|0|0|2|0|0|4
Lazaro Estrada|TOR|4.0|0|0|0|0.0|0.5|3|0|0|0|0|2|0|14
Alec Gamboa|BOS|1.0|0|0|0|0.0|0.0|2|0|0|0|0|0|0|3
Brandyn Garcia|ARI|5.7|0|0|1|0.0|0.18|6|0|0|0|1|0|0|17
Joey Gerber|NYM|2.0|0|0|0|0.0|1.5|5|0|0|0|2|1|0|9
Domingo Gonzalez|SEA|3.0|0|0|0|0.0|1.33|3|0|0|0|2|2|0|13
Ryan Gusto|MIA|1.0|0|0|1|0.0|0.0|1|0|0|0|0|0|0|3
Austin Hedges|CLE|0.3|0|0|0|0.0|0.0|0|0|0|0|0|0|0|1
Sam Hentges|SFG|2.3|0|0|0|0.0|1.71|3|0|0|0|1|3|0|11
P.J. Higgins|CIN|1.0|0|0|0|0.0|0.0|1|0|0|0|0|0|0|3
Raisel Iglesias|ATL|13.7|0|8|0|0.0|0.73|17|0|0|0|7|3|0|49
Alek Jacob|SDP|2.0|1|0|0|0.0|1.0|3|0|0|0|1|1|1|9
William Kempner|MIA|1.0|0|0|0|0.0|0.0|1|0|0|0|0|0|0|3
Jared Koenig|MIL|2.3|0|0|1|0.0|2.14|4|0|0|0|3|2|0|13
Brooks Kriske|ATH|2.7|0|0|0|0.0|1.13|2|0|0|0|2|1|0|11
Alek Manoah|LAA|6.0|0|0|0|0.0|1.17|3|0|0|0|2|5|0|25
Yuki Matsui|SDP|6.7|0|0|0|0.0|0.9|8|0|0|0|4|2|0|25
Zebby Matthews|MIN|7.0|1|0|0|0.0|0.71|5|0|1|0|4|1|0|25
Easton McGee|MIL|2.0|0|0|0|0.0|1.0|1|0|0|0|1|1|0|6
Reese McGuire|CHW|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Anthony Molina|ATL|2.0|0|0|0|0.0|0.5|0|0|0|0|0|1|0|6
Eduardo Rivera|BOS|3.3|0|0|0|0.0|0.3|3|0|0|0|1|0|0|10
Ethan Roberts|CHC|5.7|0|0|0|0.0|0.71|2|0|0|0|1|3|2|21
Yariel Rodríguez|TOR|1.0|0|0|0|0.0|1.0|2|0|0|0|0|1|0|3
Jake Rogers|DET|1.3|0|0|0|0.0|1.5|1|0|0|0|2|0|0|6
Yacksel Ríos|CHC|1.7|0|0|0|0.0|0.0|2|0|0|0|0|0|0|5
Justin Slaten|BOS|6.0|0|0|3|0.0|1.0|7|0|0|0|4|2|0|24
Dylan Smith|SFG|0.7|0|0|0|0.0|1.5|0|0|0|0|0|1|0|3
Brock Stewart|LAD|2.0|0|0|1|0.0|0.5|3|0|0|0|0|1|0|7
Hunter Stratton|ATL|1.0|0|0|0|0.0|1.0|1|0|0|0|1|0|0|3
Garrett Stubbs|PHI|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Trent Thornton|CHC|5.0|2|0|0|0.0|0.8|3|0|0|0|3|1|0|18
Tyler Tolbert|KCR|0.7|0|0|0|0.0|1.5|0|0|0|0|1|0|0|2
Logan VanWey|HOU|2.0|0|0|0|0.0|0.5|3|0|0|0|1|0|0|7
Vince Velasquez|CHC|2.3|0|0|0|0.0|0.43|1|0|0|0|1|0|0|8
Josh Walker|BAL|3.0|0|0|0|0.0|0.67|4|0|0|0|1|1|0|10
Louis Varland|TOR|21.7|1|5|3|0.42|1.2|32|0|0|1|17|9|0|87
Robert Suarez|ATL|19.3|4|4|5|0.47|0.88|19|0|0|1|13|4|0|74
Rico Garcia|BAL|19.0|3|3|7|0.47|0.42|22|1|0|1|1|7|0|64
Aroldis Chapman|BOS|14.7|0|9|0|0.61|0.82|21|0|0|1|7|5|1|55
Austin Warren|NYM|12.7|0|0|0|0.71|1.11|15|1|0|1|8|6|0|51
Kyle Hurt|LAD|12.0|0|0|1|0.75|0.67|16|0|0|1|6|2|1|45
Shohei Ohtani|LAD|44.0|3|0|0|0.82|0.82|50|2|7|4|25|11|3|171
Hunter Brown|HOU|10.7|1|0|0|0.84|1.03|17|0|1|1|5|6|0|43
Dylan Lee|ATL|21.3|1|0|7|0.84|0.47|26|0|0|2|8|2|0|74
Mason Miller|SDP|21.0|1|14|0|0.86|0.76|44|0|0|2|10|6|0|79
Peyton Gray|TEX|10.3|0|0|1|0.87|1.26|8|0|0|1|7|6|0|44
Tim Hill|NYY|18.0|0|0|7|1.0|0.78|7|1|0|2|12|2|0|65
Brooks Raley|NYM|17.0|1|0|5|1.06|0.94|20|1|0|2|10|6|0|66
Tyler Phillips|MIA|25.0|0|2|0|1.08|1.24|25|1|0|3|18|13|1|106
Yennier Cano|BAL|16.0|1|0|2|1.13|0.56|11|1|0|2|7|2|0|56
Tyler Samaniego|BOS|15.3|0|0|0|1.17|1.17|12|1|0|2|11|7|1|63
Tim Herrin|CLE|14.3|0|0|2|1.26|1.53|7|0|0|2|13|9|1|66
Kyle Finnegan|DET|20.7|1|1|5|1.31|1.45|14|1|0|3|15|15|0|84
Jason Adam|SDP|13.7|2|1|8|1.32|0.95|6|1|0|2|9|4|1|55
Antonio Senzatela|COL|27.3|3|2|1|1.32|0.77|24|1|0|4|14|7|0|100
Wilber Dotel|PIT|6.7|0|0|1|1.35|0.75|4|1|0|1|2|3|0|25
Cam Schlittler|NYY|60.0|6|0|0|1.35|0.78|68|2|6|9|36|11|0|226
Caleb Kilian|SFG|19.3|1|2|2|1.4|1.09|19|2|0|3|9|12|1|79
Trey Yesavage|TOR|19.3|1|0|0|1.4|1.29|21|0|1|3|17|8|1|81
Matt Gage|SFG|18.3|3|0|5|1.47|1.2|13|1|0|3|11|11|0|75
Tanner Scott|LAD|18.3|0|4|4|1.47|0.6|18|2|0|3|9|2|0|65
Spencer Arrighetti|HOU|36.0|5|0|0|1.5|1.19|35|1|3|6|22|21|4|152
Carl Edwards Jr.|NYM|6.0|0|0|0|1.5|1.17|11|1|0|1|3|4|0|25
Jhoan Duran|PHI|11.7|1|7|0|1.54|1.11|19|0|0|2|8|5|0|47
Dietrich Enns|BAL|11.7|1|0|0|1.54|1.29|11|0|0|2|7|8|0|48
Evan Sisk|PIT|17.3|0|0|1|1.56|0.98|21|0|0|3|13|4|3|69
Ryan Fernandez|STL|5.7|1|0|0|1.59|1.59|9|0|0|1|7|2|0|26
Brian Fitzpatrick|MIL|5.7|0|0|0|1.59|1.76|4|0|0|1|7|3|0|27
Ben Brown|CHC|33.7|1|1|2|1.6|0.86|34|1|0|6|19|10|1|129
Davis Martin|CHW|50.0|5|0|0|1.62|1.0|52|2|6|9|40|10|3|192
Luis Medina|ATH|16.7|1|0|2|1.62|1.02|16|1|0|3|9|8|1|67
José Soriano|LAA|54.3|6|0|0|1.66|1.05|61|5|5|10|37|20|0|215
Yerry De los Santos|NYY|5.3|0|0|0|1.69|1.31|6|1|0|1|4|3|0|21
Josh Ekness|MIA|5.3|0|1|0|1.69|1.31|5|0|0|1|2|5|0|22
Joel Peguero|SFG|5.3|0|0|0|1.69|0.75|1|0|0|1|2|2|2|21
Nick Martinez|TBR|47.7|4|0|0|1.7|1.05|31|3|4|9|40|10|2|193
José A. Ferrer|SEA|21.0|0|2|4|1.71|1.33|17|0|0|4|25|3|3|93
Bryan Hudson|CHW|21.0|1|2|2|1.71|1.43|22|0|0|4|21|9|2|91
Chase Shugart|PHI|15.7|2|0|0|1.72|0.96|15|2|0|3|12|3|3|62
Bradgley Rodriguez|SDP|20.7|0|0|3|1.74|0.97|15|0|0|4|15|5|0|81
DL Hall|MIL|20.0|0|0|3|1.8|1.25|22|1|0|4|10|15|1|83
Seth Halvorsen|COL|5.0|0|0|2|1.8|1.4|4|0|0|1|3|4|0|22
Bryce Elder|ATL|54.7|4|0|0|1.81|1.01|53|3|6|11|35|20|2|217
Colin Holderman|CLE|14.7|0|0|1|1.84|0.75|17|1|0|3|7|4|0|56
Tyler Rogers|TOR|19.3|1|0|7|1.86|1.14|12|0|0|4|16|6|0|80
Erik Sabrowski|CLE|19.3|1|0|16|1.86|0.88|35|1|0|4|7|10|0|75
Chase Burns|CIN|53.0|5|0|0|1.87|1.0|55|6|6|11|35|18|0|207
Jakob Junis|TEX|19.0|0|3|5|1.89|0.79|9|0|0|4|10|5|2|73
Gordon Graceffo|STL|23.7|3|1|2|1.9|0.93|10|2|0|5|12|10|2|90
Brenan Hanifee|DET|9.3|0|0|0|1.93|1.07|5|1|0|2|9|1|0|37
Juan Morillo|ARI|18.7|1|1|8|1.93|0.8|21|1|0|4|10|5|1|73
Richard Lovelady|WSH|18.3|2|2|3|1.96|1.75|18|1|0|4|18|14|1|84
Daniel Lynch IV|KCR|18.3|1|1|4|1.96|0.82|25|1|0|4|9|6|2|73
Chris Sale|ATL|55.0|6|0|0|1.96|0.91|64|6|8|12|36|14|5|216
Paul Skenes|PIT|50.0|6|0|0|1.98|0.64|56|4|5|11|25|7|3|185
Payton Tolle|BOS|22.7|1|0|0|1.99|0.84|27|2|2|5|13|6|1|87
Brant Hurter|DET|22.3|4|0|1|2.01|0.94|16|1|0|5|13|8|1|87
Grant Taylor|CHW|22.3|1|0|2|2.01|1.3|34|0|0|5|21|8|0|96
Lake Bachar|MIA|22.0|0|0|1|2.05|0.77|25|2|0|5|10|7|1|84
Jack Dreyer|LAD|21.7|2|0|3|2.08|0.97|24|1|0|5|15|6|1|84
Brent Headrick|NYY|21.7|3|0|5|2.08|1.29|23|2|0|5|20|8|0|92
Jacob Latz|TEX|21.7|0|5|2|2.08|0.6|17|1|0|5|8|5|0|79
Kyle Harrison|MIL|38.7|4|0|0|2.09|1.19|48|3|2|9|33|13|3|160
Michael McGreevy|STL|51.3|3|0|0|2.1|0.88|36|6|6|12|34|11|0|191
Cristopher Sánchez|PHI|55.3|4|0|0|2.11|1.28|67|3|6|13|57|14|1|236
Joe Mantiply|TOR|17.0|1|0|0|2.12|1.06|16|1|0|4|15|3|1|67
Jacob Misiorowski|MIL|51.0|3|0|0|2.12|0.9|80|4|4|12|29|17|5|202
Tyler Alexander|TEX|21.0|1|2|4|2.14|1.38|16|1|0|5|23|6|1|90
Huascar Brazobán|NYM|21.0|2|0|1|2.14|0.95|16|1|0|5|12|8|1|82
Riley Martin|CHC|8.3|0|0|0|2.16|0.84|10|1|0|2|5|2|0|31
Aaron Ashby|MIL|29.0|8|0|1|2.17|1.31|44|1|0|7|23|15|0|121
Orion Kerkering|PHI|16.3|1|1|1|2.2|1.16|12|2|0|4|12|7|1|69
Eduard Bazardo|SEA|20.3|2|0|7|2.21|1.23|17|1|0|5|18|7|1|84
Hoby Milner|CHC|20.3|1|1|3|2.21|0.98|7|2|0|5|14|6|2|81
Dylan Dodd|ATL|4.0|0|1|0|2.25|1.0|4|0|0|1|3|1|0|16
Jake Eder|LAD|4.0|1|0|0|2.25|1.0|1|0|0|1|3|1|0|15
Julian Fernández|WSH|4.0|0|0|0|2.25|1.25|3|1|0|1|3|2|0|18
Daniel Palencia|CHC|8.0|1|3|0|2.25|1.13|9|1|0|2|7|2|0|32
Carlos Rodriguez|MIL|4.0|0|0|0|2.25|1.25|5|1|0|1|5|0|0|17
Eduardo Rodriguez|ARI|48.0|4|0|0|2.25|1.21|33|4|4|12|36|22|0|200
Shane McClanahan|TBR|39.7|4|0|0|2.27|0.98|41|1|1|10|24|15|0|159
Hunter Bigge|TBR|15.7|1|0|5|2.3|0.83|12|1|0|4|5|8|0|61
Paxton Schultz|WSH|15.7|0|1|0|2.3|1.09|16|2|0|4|14|3|1|67
Martín Pérez|ATL|35.0|2|0|0|2.31|0.97|26|4|1|9|23|11|2|137
Shota Imanaga|CHC|54.3|4|0|0|2.32|0.9|59|5|6|14|36|13|0|211
Taylor Clarke|ARI|19.3|1|0|8|2.33|0.72|9|1|0|5|12|2|2|72
Parker Messick|CLE|53.7|5|0|0|2.35|0.99|58|5|4|14|39|14|1|205
Jared Shuster|STL|7.7|0|0|0|2.35|1.17|2|0|0|2|6|3|0|32
Cooper Criswell|SEA|19.0|1|1|3|2.37|0.95|16|3|0|5|14|4|1|71
Ty Madden|DET|11.3|0|0|0|2.38|0.79|12|1|0|3|7|2|0|43
Clay Holmes|NYM|52.7|4|0|0|2.39|1.1|45|3|4|14|40|18|1|215
Dylan Cease|TOR|52.3|3|0|0|2.41|1.18|75|1|4|14|41|21|3|217
John King|MIA|18.7|1|1|3|2.41|0.75|16|2|0|5|7|7|2|71
Gregory Soto|PIT|22.3|3|4|6|2.42|0.85|26|1|0|6|10|9|1|86
Justin Wrobleski|LAD|44.7|5|0|0|2.42|0.99|22|2|4|12|33|11|2|177
Ranger Suarez|BOS|44.3|2|0|0|2.44|0.95|40|3|3|12|31|11|0|169
Andrew Alvarez|WSH|7.3|1|0|1|2.45|1.09|10|0|0|2|7|1|0|29
Zach Eflin|BAL|3.7|0|0|0|2.45|1.64|7|1|0|1|4|2|0|17
Hogan Harris|ATH|22.0|2|3|7|2.45|1.64|24|2|0|6|19|17|1|103
Cade Horton|CHC|7.3|1|0|0|2.45|0.82|4|1|1|2|4|2|0|26
Will Klein|LAD|18.3|1|0|4|2.45|1.31|19|0|0|5|18|6|1|78
Riley O'Brien|STL|22.0|3|13|1|2.45|0.91|25|1|0|6|18|2|3|85
Kendry Rojas|MIN|7.3|1|0|0|2.45|2.18|8|0|0|2|8|8|0|34
Spencer Strider|ATL|14.7|1|0|0|2.45|1.23|18|1|1|4|8|10|0|58
Keaton Winn|SFG|18.3|0|0|9|2.45|0.82|15|0|0|5|9|6|0|68
Fernando Cruz|NYY|18.0|3|0|7|2.5|1.39|25|2|0|5|14|11|2|79
Chase Silseth|LAA|14.3|0|0|3|2.51|1.67|14|1|0|4|12|12|0|66
Ryan Helsley|BAL|10.7|0|7|0|2.53|1.31|15|0|0|3|7|7|0|46
Zack Wheeler|PHI|24.7|2|0|0|2.55|0.93|22|1|3|7|17|6|1|95
Orlando Ribalta|WSH|7.0|0|1|1|2.57|0.71|6|0|0|2|3|2|0|25
Bryan Baker|TBR|17.3|1|11|1|2.6|1.04|20|1|0|5|10|8|0|70
Brock Burke|CIN|20.7|1|1|4|2.61|1.45|24|0|0|6|17|13|1|92
Coleman Crow|MIL|10.3|0|0|0|2.61|0.77|7|0|0|3|7|1|1|40
Eli Morgan|KCR|10.3|0|1|0|2.61|1.35|9|2|0|3|8|6|0|45
Jacob deGrom|TEX|44.7|3|0|0|2.62|0.92|57|6|3|13|33|8|0|174
Michael King|SDP|51.3|3|0|0|2.63|1.09|50|4|4|15|34|22|4|205
Wandy Peralta|SDP|20.3|0|0|1|2.66|1.43|16|3|0|6|21|8|1|86
Randy Vásquez|SDP|50.3|5|0|0|2.68|1.11|45|4|4|15|43|13|3|203
